,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
26,,"O sky","2020-11-25 05:08:48",2,no,no,"Serem amat semuanya onboard wkwkek",UC3WmqwWkGvRTcxQN-fw17KQ,UgzzDBVOmPCR17Ae9PF4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzzDBVOmPCR17Ae9PF4AaABAg
27,,"Naufal Farras","2020-11-25 06:00:46",0,no,no,"Gua yakin sebelum apple launching m1, mereka jg udh kayak propose ke software company biar ada persiapan juga, jd gabakal terlalu lama transisinya, lagian mereka juga tau pasar pengguna ekosistem apple kaya gimana, intinya transisi bukan masalah sih kayanya",UCFSFyWRhrzsfn-yQFGnNYsg,UgyylEdQMM4_qeh0QEt4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgyylEdQMM4_qeh0QEt4AaABAg
28,,"ya sudahlah h","2020-11-25 07:00:32",0,no,no,"12:57.  Awokawok",UC1XnWj9rri_cMDafUu2hbsQ,Ugxm2XE6KTbDLidn0B94AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugxm2XE6KTbDLidn0B94AaABAg
29,,"jumat sabtu","2020-11-25 07:05:52",0,no,no,"awas harga Laptop sama komponen PC harganya bakalan terjun bebas bae-bae",UCi8lvaO_Fy3CVr94S0uLPvw,UgwnDSA4Wqe3qAS9XvN4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwnDSA4Wqe3qAS9XvN4AaABAg
30,,Bugzy,"2020-11-25 07:50:32",1,no,no,"apple sih gua percaya,  mana mungkin gak melakukan research dulu, gua yakin pasti udah research udah tes ini itu dulu, baru deh d rilis ke public.",UC2z-SIFxsPKkcHzzyqLrewg,Ugxa2p4zcnRnMKo8nex4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugxa2p4zcnRnMKo8nex4AaABAg
31,,"Ahmad Syafiudin","2020-11-25 08:42:43",0,no,no,"Bukan lupa bang .. apple memang uda tau maslah x86 x64 dg ARM mslah comptiblty software  , mereka uda tau tpi belum bisa mengatasi mslah itu . Jdi sma apple gk di bahas ... 😁",UChaeZHyR-eBkO7PEeZPe4Nw,Ugz5FE43ne6lVtyoZB14AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugz5FE43ne6lVtyoZB14AaABAg
32,,"Trio Ahmad","2020-11-25 09:51:20",0,no,no,"Skip kalo bkn tes langsung",UC1fVV8_mF8G0FpWg4Iq2Nhg,UgyOwYs-0i5Smrzlde54AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgyOwYs-0i5Smrzlde54AaABAg
33,,"Soffi Filianto","2020-11-25 11:00:57",1,no,no,"Di event WWDC kemarin, Apple bilang masa transisi-nya ditargetkan selama 2 tahun. Dan setelah peluncurannya, Adobe bilang kalo software-nya bakal hadir di 2021 untuk yg M1. Let's see apakah ""Move On""-nya Apple dari Intel bakal menjadi boomerang tersendiri? Atau kembali menjadi trendsetter di dunia teknologi?",UCu47eIk8CKhO9BU5-zFsarQ,Ugyf5ok18UrO_KfI_lJ4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugyf5ok18UrO_KfI_lJ4AaABAg
34,,"Budhi Leksona","2020-11-25 12:20:00",1,no,no,"bang coba dicek reviewnya The Tehc Chap dimana dia comparing xps 13 sama m1 macbook pro, disitu kayanya ketara deh inovasi apple sekarang, reliabilitynya emang ga sekeren x86 sii, tapi disesuaikan dengan kebutuhan masing masing lagi sii",UC4k8KT6SgyIPDOMFrSMXO3w,Ugxr4vsZOEYrpAFDef94AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugxr4vsZOEYrpAFDef94AaABAg
35,,"Kaka Angrika","2020-11-25 13:13:31",0,no,no,"pertama tama, abang mantul jelasin kalo lini Mac itu bukan buat Gaming, good job. soal RAM dan komponen lain di laptop normal itu upgradable, di lini MAC itu udah hampir 6 tahun gak bisa upgrade setelah beli produk nya jadi yg udah pakai MAC lama itu gak kaget. selanjutnya yg ditunggu tunggu tapi tidak diberitahu oleh abang, sebenarnya udah dijabarin apple berapa lama transisi yg akan dilakukan oleh Apple ke semua developer buat optimize apps kreatifitas yakni antara 1 sampe 2 tahun tapi kenapa tidak dijabarkan di video? dan masalah chip M1 nya, Apple gw yakin di experiment kali ini, hanya mencoba di lini base model nya yg bukan main core laptop buat para kreator yg sampe saat ini masih bisa dibeli dengan chip intel. dan soal developer apps nya, gw yakin malah lebih gampang/butuh waktu yg gak lama untuk optimize ke M1 karena sudah nyata di Apple Bionic Chip di lini device mereka, kebanyakan apps didahulukan di lini Apple Deives nya ketimbang pesaing & kalo diliat market share segmen Laptop dan para pemuja video editor, kebanyakan di segmen Laptop itu based nya Mac yg bisa memakai software mateng nya FCPX (FCP sekarang di M1) dan Adobe Premier/DaVinci Resolve dimana kalo di chip intel itu mereka tidak bisa mendapatkan keistimewaan software matang nya Apple, FCPX. bukan fanboy tapi bisa beropini begini karena udah nonton video reviewer yg neutral terhadap brand, ada benar nya juga, jadi ini opini berdasarkan berbagai sumber yg dijadiin satu. punya apple product cuma iphone 6s wkwkwkwk kagum aja inovasi yg berani keluar dari zona yg dari dulu sebernarnya pengen di tinggal baru kesampaian. contoh lain adalah chip modem di iPhone lini 12 sekarang sudah pake qualcom yg lebih kencang dan daya tangkap sinyal lebih baik ketimbang seri iphone 11 nya dan itu terbukti bahwa Intel mempermainkan semua orang. mohon keritikan nya gaes",UCLq2EA1OOg0_Z8IrZn_564g,UgzmY56lVl9eMozdp3d4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzmY56lVl9eMozdp3d4AaABAg
36,,"Fajri Salam","2020-11-25 15:32:43",0,no,no,"Perkiraan harga laptop di 2021 apakan turun atau naik ya bang? Semoga turun sih",UCmk4r5pBSQKmZR1Hr3_vQOA,Ugy_8jYB02deVGWy5cZ4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugy_8jYB02deVGWy5cZ4AaABAg
37,,"aditya rahman","2020-11-25 16:07:26",2,no,no,"intel pasti nyesel banget karena nolak apple buat bikin chipset arm buat iphone gen 1 gara gara ngira iphone kagak bakal laku.",UC1tXk81omTt_kV6y9gQ6WjQ,UgwB6Uv5OGVd17TkGIJ4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwB6Uv5OGVd17TkGIJ4AaABAg
38,,"Doddy Permana","2020-11-25 18:07:52",0,no,no,"Klo emang apple fan boy, seharusnya uda paham dong y klo sblmnya apple pake INTEL, 
dngn datang nya M1 apakah akan ada perang saudara? 🤣🤣 

kubu merah mengamati 😄",UCaypx9hI_fLeJKZ3mLMdAhw,Ugwu_y0k90--Y35qeph4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugwu_y0k90--Y35qeph4AaABAg
39,,CaptainPure,"2020-11-25 18:16:36",0,no,no,"spoiler alert : intel will fight back di tahun 2023 ""KECUALI"" intel punya perjanjian khusus sama para designer chipset untuk target penjualan (politik market) #basedonintelroadmap",UCWoXIb5wN7prLUw_hnOej3A,UgwYyAcCSIw8g49-Iup4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwYyAcCSIw8g49-Iup4AaABAg
40,,SECRETORUM,"2020-11-25 18:24:28",1,no,no,"bukan lupa bang, compability nya belum optimal",UCLptLLC16qtHgsqXehgLTzw,UgwWFtVNoY0IJj-ZayN4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwWFtVNoY0IJj-ZayN4AaABAg
41,,var_dump,"2020-11-25 18:25:34",1,no,no,"Ini opini pribadi saya

1. Menurutku sih arm itu masa depan, suka tidak suka, mau gak mau. Pertanyaannya transisinya seberapa lama? 
saya rasa cukup cepat (ini tergantung sih, menurut lo 2-3 tahun itu lama apa sebentar 😁). 
pertama mereka udah ada pengalaman transisi dari powerpc ke intel, dan itu cukup berhasil juga under rosetta 1.
kedua untuk pasar professional, apple udah punya nama. bukan hanya punya market, mereka bisa nge-drive market.
contoh kecil aja, chrome udah release versi m1 nya. mungkin engineernya chrome lg kejar setoran ya 😆

2. Untuk kalangan consumer umum, saya gak nemu alasan untuk gak pakai yg versi m1 (ini misalnya lo mau beli mac sekarang dan bingung mau beli yg versi intel atau versi m1). 
secara dari tech reviewer luar udah pada nyobain tool2 yg biasa kita pakai: adobe family, ms office, video editing, audio editing, browser, dll. Udah seamless. 
Bahkan beberapa app yg jalan under rosetta 2 bisa lebih baik dari app yang native di x86 intel. 
kecuali mungkin kayak saya dan beberapa software developer yg pakai tools spesifik dan heavy tight sama x86 architecture. misal pakai docker, vm, homebrew, dll.
ya gak mungkin pindah sekarang, paling enggak nunggu jadwal release dari developernya.

3. Dari dulu agak kurang merhatiin synthetic benchmark (no jangan salah paham, ini saya pribadi aja. Bagaimanapun synthetic benchmark itu valid dan bisa jadi bahan rujukan), 
apalagi pas score benchmarknya m1 leaked dan termasuk tinggi. karena ujung2nya penilaian terakhir saya pas pakai di real scenarios.
tapi abis liat2 reviewnya Max Tech, GregsGadget, Tech Chap, etc. Ternyata benefitnya unified architecture bisa sedrastis itu untuk overall performance dan efisiensi. 
Selama ini kita emang terlalu compensate performace dan efisiensi untuk modularity.",UCV3s__KR5Z_q5X8ybe0djUA,UgxWBVl_1YJxbXJDPJJ4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgxWBVl_1YJxbXJDPJJ4AaABAg
42,,"ugu widodo","2020-11-25 23:10:41",1,no,no,"Biarin onthel g seenak jidat ngasih harga😁...pangsa pasar turun......",UCCTwoeQ8a7CG8gDsd2_gVQA,UgxwXb7rY11e5NlCnTx4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgxwXb7rY11e5NlCnTx4AaABAg
43,,"Tommy Wijaya","2020-11-26 01:11:10",1,no,no,"yang comment apple jelek pasti belum pernah pakai productnya wkwkwkkwk",UCGz3wQcupvr2sRdOlgQNyMg,UgzsLTexOSOhM4zv5wl4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzsLTexOSOhM4zv5wl4AaABAg
44,,"frezd Mello","2020-11-26 02:37:39",1,no,no,"8:53 kayaknya udah dijelasi sama apple waktu WWDC kemarin. kalau gak salah",UCHcHePm1PfMvDnhHWnI3uQA,UgyTDYdENd8FJ6YAimx4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgyTDYdENd8FJ6YAimx4AaABAg
45,,"Adolf hitler","2020-11-26 03:38:03",0,no,no,"Alhamdullilah semenjak saya menonton gaptech id,saya jadi rajin menabung untuk membeli pc, dan akhirnya saya sudah punya pc yang saya mau 😭,terimakasih gaptech id",UCj74IBZVR0lRzauBJ4OU7Yw,UgwHT1y2s7loh29KWFh4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwHT1y2s7loh29KWFh4AaABAg
46,,"Ayi Restudiputra","2020-11-26 06:13:33",1,no,no,"perceraian memang sering ada dampaknya",UCbenwgioxruf_JAiCegaI-A,UgzqldqPkbJrasyozKd4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzqldqPkbJrasyozKd4AaABAg
47,,"Mack Mug","2020-11-26 09:38:17",0,no,no,"tutorial overclock macbook pro donk bang",UCOR5CUTysFg_mlIvQtjOkPA,Ugz9G4CaZP-IPZcxKQx4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugz9G4CaZP-IPZcxKQx4AaABAg
48,,"Mack Mug","2020-11-26 09:38:18",0,no,no,"tutorial overclock macbook pro donk bang",UCOR5CUTysFg_mlIvQtjOkPA,UgwyWvsExLqDsG615OR4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwyWvsExLqDsG615OR4AaABAg
49,,"Raka Danang","2020-11-26 13:19:15",0,no,no,"Laptop ROG tipe apa itu bang yang kau pake",UCdbY0j0EUQDPOZTCXDeLWwQ,UgzCnoAdeCemmB2DCF54AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzCnoAdeCemmB2DCF54AaABAg
50,,"Master Key","2020-11-26 13:38:05",0,no,no,"Sudah ada test pakai davinci resolve.. dan hasilnya lebih gokill.. kalau saia pribadi masih wait n see untuk beli, walau emang ada rencana beli, yg pasti ram yg 16gb harus lbih smooth.",UCaW6FiX-taCvbeFigbUR1Mw,UgzY5hLcSXmCAMy--dB4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzY5hLcSXmCAMy--dB4AaABAg
